SessionID,SessionDate,UserID,TrafficSource,LandingPage,Device,Sessions,BounceRate,CTR,Conversions
S001,2025-09-09,U114,Organic,/contact,Mobile,1,0.32,0.02,0
S002,2025-09-10,U194,Email,/home,Tablet,1,0.41,0.01,0
S003,2025-08-27,U164,Email,/home,Tablet,1,0.3,0.07,1
S004,2025-09-02,U128,Social,/blog/article2,Mobile,1,0.6,0.01,0
S005,2025-09-11,U154,Referral,/pricing,Desktop,1,0.31,0.08,0
S006,2025-08-22,U148,Organic,/pricing,Mobile,1,0.5,0.08,1
S007,2025-09-03,U168,Organic,/blog/article1,Desktop,1,0.48,0.08,1
S008,2025-09-17,U146,Email,/product,Tablet,1,0.23,0.07,0
S009,2025-08-22,U129,Organic,/blog/article1,Mobile,1,0.43,0.09,0
S010,2025-08-31,U145,Paid,/contact,Mobile,1,0.55,0.07,0
S011,2025-09-08,U181,Paid,/blog/article2,Tablet,1,0.32,0.05,0
S012,2025-09-18,U181,Email,/product,Tablet,1,0.36,0.08,0
S013,2025-08-27,U104,Referral,/blog/article1,Mobile,1,0.23,0.09,1
S014,2025-09-17,U191,Referral,/product,Tablet,1,0.45,0.09,1
S015,2025-09-03,U118,Referral,/product,Desktop,1,0.57,0.06,1
S016,2025-09-07,U154,Email,/blog/article1,Mobile,1,0.31,0.1,1
S017,2025-09-04,U111,Organic,/home,Desktop,1,0.51,0.08,0
S018,2025-09-08,U108,Social,/blog/article1,Tablet,1,0.7,0.06,1
S019,2025-09-16,U101,Organic,/contact,Tablet,1,0.58,0.08,0
S020,2025-08-23,U137,Social,/product,Mobile,1,0.2,0.07,1
S021,2025-08-28,U164,Paid,/blog/article2,Desktop,1,0.64,0.04,1
S022,2025-09-05,U177,Paid,/product,Mobile,1,0.58,0.06,1
S023,2025-09-18,U100,Email,/pricing,Mobile,1,0.21,0.09,0
S024,2025-08-27,U107,Paid,/blog/article2,Desktop,1,0.24,0.05,0
S025,2025-09-13,U168,Paid,/product,Tablet,1,0.44,0.06,0
S026,2025-09-05,U177,Social,/product,Tablet,1,0.58,0.07,1
S027,2025-08-29,U151,Referral,/blog/article1,Tablet,1,0.43,0.03,0
S028,2025-08-30,U102,Email,/blog/article2,Desktop,1,0.49,0.01,1
S029,2025-09-09,U107,Paid,/home,Desktop,1,0.63,0.02,0
S030,2025-08-28,U185,Social,/product,Tablet,1,0.27,0.09,1
S031,2025-09-07,U160,Paid,/blog/article1,Mobile,1,0.3,0.02,0
S032,2025-08-31,U154,Social,/blog/article1,Tablet,1,0.23,0.07,1
S033,2025-08-23,U107,Social,/contact,Mobile,1,0.6,0.02,0
S034,2025-08-26,U168,Social,/product,Mobile,1,0.29,0.05,0
S035,2025-09-03,U170,Organic,/home,Tablet,1,0.7,0.09,0
S036,2025-09-18,U196,Paid,/product,Mobile,1,0.44,0.03,0
S037,2025-09-17,U107,Paid,/blog/article1,Desktop,1,0.69,0.03,0
S038,2025-08-29,U154,Email,/contact,Tablet,1,0.44,0.03,0
S039,2025-09-19,U107,Email,/contact,Tablet,1,0.23,0.04,0
S040,2025-09-07,U161,Email,/blog/article2,Desktop,1,0.23,0.06,0
