EmployeeID,HireDate,TerminationDate,Status,Age,Gender,MaritalStatus,Department,JobRole,ManagerID,Location,OfficeType,Education,EducationField,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,MonthlyIncome,SalaryChangePercent,PerformanceRating,LastPerformanceDate,JobSatisfaction,WorkLifeBalance,OverTime,NumTrainingsLastYear,CommuteTimeMins,NumberOfProjects,LeaveDaysLastYear,EngagementScore,Attrition
E10000,2012-05-10,,Active,50,Female,Single,IT,Engineer,M107,London,Remote,High School,Finance,14,0,3,8,14418,9,1,2023-07-12,1,1,Yes,1,27,7,10,80,0
E10001,2020-04-30,,Active,37,Male,Widowed,R&D,Technician,M126,Remote,Remote,Bachelor's,Technical,1,1,7,4,14987,3,5,2023-11-11,2,3,Yes,1,104,5,8,94,0
E10002,2018-06-20,,Active,56,Male,Divorced,IT,Technician,M114,New York,Remote,Bachelor's,Marketing,2,5,4,2,19387,-9,3,2023-02-25,5,4,No,9,49,1,5,95,0
E10003,2011-04-12,,Active,52,Male,Married,HR,Analyst,M127,Remote,On-site,Bachelor's,Technical,11,9,7,3,7754,3,1,2023-10-13,3,4,Yes,5,117,1,15,96,0
E10004,2022-02-13,,Active,25,Male,Single,R&D,Technician,M108,London,On-site,Bachelor's,Marketing,8,6,0,1,15477,-1,3,2023-09-01,4,2,No,4,51,12,5,64,0
E10005,2019-06-07,,Active,58,Male,Single,Finance,Technician,M131,Remote,On-site,Bachelor's,Finance,4,7,4,6,8063,14,3,2023-03-05,1,2,No,5,117,14,24,66,0
E10006,2018-09-07,2023-05-15 00:00:00,Terminated,38,Female,Single,IT,Engineer,M135,London,Remote,Bachelor's,Finance,3,5,3,3,14944,9,2,2023-11-19,4,2,Yes,9,60,14,23,63,1
E10007,2017-12-29,,Active,47,Male,Single,Operations,Manager,M127,London,Remote,Master's,Finance,12,5,2,3,14867,19,3,2023-10-03,1,3,No,2,15,1,24,65,0
E10008,2010-05-11,,Active,25,Female,Married,HR,Executive,M104,Remote,On-site,High School,Marketing,14,2,3,7,4612,-8,2,2023-09-03,2,4,No,6,110,5,1,91,0
E10009,2014-08-13,,Active,51,Male,Divorced,R&D,Clerk,M142,Bangalore,Hybrid,Bachelor's,Finance,3,8,7,9,17791,4,4,2023-04-09,4,2,No,9,119,1,14,66,0
E10010,2012-02-09,,Active,51,Female,Single,HR,Clerk,M104,Chennai,Remote,High School,Technical,2,1,1,4,7529,-4,3,2023-10-10,3,2,No,3,34,9,2,75,0
E10011,2016-07-19,,Active,43,Female,Married,R&D,Technician,M118,Chennai,On-site,Bachelor's,Operations,8,4,1,2,18945,16,3,2023-05-20,1,4,No,1,29,11,20,97,0
E10012,2016-08-30,,Active,32,Female,Married,R&D,Technician,M123,Chennai,On-site,High School,Marketing,10,2,7,5,18484,19,4,2023-04-19,4,2,No,6,102,9,20,63,0
E10013,2013-03-30,,Active,23,Female,Divorced,R&D,Executive,M132,Chennai,On-site,High School,Operations,9,0,2,7,5240,4,4,2023-08-31,1,5,No,3,112,8,12,94,0
E10014,2022-06-22,,Active,33,Male,Single,Operations,Clerk,M112,New York,Remote,High School,Technical,0,1,6,9,16899,8,2,2023-02-10,5,5,No,0,25,5,5,85,0
E10015,2019-04-09,,Active,51,Male,Single,Finance,Engineer,M120,London,On-site,Bachelor's,HR,13,5,4,0,7322,15,3,2023-07-27,5,1,Yes,8,6,9,17,71,0
E10016,2021-04-10,,Active,57,Male,Married,R&D,Clerk,M147,New York,On-site,Bachelor's,Finance,5,9,7,8,8963,1,3,2023-08-12,4,4,No,0,71,2,23,52,0
E10017,2017-12-14,,Active,39,Male,Married,R&D,Clerk,M145,Chennai,Hybrid,Master's,Technical,3,0,3,3,10153,13,3,2023-02-20,5,5,No,0,9,12,11,52,0
E10018,2011-04-20,,Active,47,Male,Divorced,HR,Clerk,M112,Chennai,Remote,Bachelor's,HR,7,1,5,4,11870,10,2,2023-12-19,3,4,Yes,6,49,12,0,64,0
